sep=;
feature;is_normal (shapiro);is_homogeneous (levene);p_value;is_significant;effect;result;('challenging', 'no_effect');('challenging', 'no_effect');('challenging', 'reinforcing');('challenging', 'reinforcing');('no_effect', 'reinforcing');('no_effect', 'reinforcing')
lemma3_metropolitan transport author;False;False;0.7937304147023149;False;;;False;;False;;False;
lemma3_minist ariel sharon;False;False;0.006627378061245226;True;;;False;;same values;same values;True;0.02
lemma3_minist ehud olmert;False;False;0.132826239488133;False;;;False;;False;;False;
lemma3_minist nuri kamal;False;False;0.452164875922747;False;;;False;;False;;False;
lemma3_minist toni blair;False;False;0.29598896745629005;False;;;False;;False;;False;
lemma3_nation academi scienc;False;False;0.21271079658379496;False;;;False;;False;;False;
lemma3_nation secur council;False;False;0.10381168298850257;False;;;False;;False;;False;
lemma3_nonpartisan redistrict commiss;False;False;0.8645270080071553;False;;;False;;False;;False;
lemma3_nuclear weapon program;False;False;0.6245566800733147;False;;;False;;False;;False;
lemma3_nuri kamal al;False;False;0.4089951259632888;False;;;False;;False;;False;
lemma3_oil for food;False;False;0.34511712117761056;False;;;False;;False;;False;
lemma3_out of control;False;False;0.5618286889670606;False;;;False;;False;;False;
lemma3_out of st;False;False;0.6308559446447399;False;;;False;;False;;False;
lemma3_port author york;False;False;0.562228030277327;False;;;False;;False;;False;
lemma3_presid dick cheney;False;False;0.5635022972273076;False;;;False;;False;;False;
lemma3_presid mahmoud abba;False;False;0.14459569189389607;False;;;False;;False;;False;
lemma3_prime minist ariel;False;False;0.006627378061245226;True;;;False;;same values;same values;True;0.02
lemma3_prime minist ehud;False;False;0.132826239488133;False;;;False;;False;;False;
lemma3_prime minist nuri;False;False;0.37456053787955074;False;;;False;;False;;False;
lemma3_prime minist toni;False;False;0.29598896745629005;False;;;False;;False;;False;
lemma3_public research group;False;False;0.11165977697797523;False;;;False;;False;;False;
lemma3_secretari donald rumsfeld;False;False;0.7339853598693249;False;;;False;;False;;False;
lemma3_secretari state condoleezza;False;False;0.13421740724806705;False;;;False;;False;;False;
lemma3_senat john mccain;False;False;0.0004849512837214987;True;;;False;;False;;True;-0.03
lemma3_senat judiciari committe;False;False;0.5280702625045477;False;;;False;;False;;False;
lemma3_senat major leader;False;False;0.6521313329300359;False;;;False;;False;;False;
lemma3_senat nichola spano;False;False;0.47499649304360214;False;;;False;;False;;False;
lemma3_sheldon silver assembl;False;False;0.10665039811566829;False;;;False;;False;;False;
lemma3_silver assembl speaker;False;False;0.37717533449380414;False;;;False;;False;;False;
lemma3_speaker sheldon silver;False;False;0.4201960249167461;False;;;False;;False;;False;
lemma3_state condoleezza rice;False;False;0.13421740724806705;False;;;False;;False;;False;
lemma3_state court appeal;False;False;0.5008250218088107;False;;;False;;False;;False;
lemma3_state depart environment;False;False;0.27410836135806016;False;;;False;;False;;False;
lemma3_state state address;False;False;0.5620972528530505;False;;;False;;False;;False;
lemma3_state suprem court;False;False;0.20388589808402302;False;;;False;;False;;False;
lemma3_stem cell research;False;False;0.6191437188209543;False;;;False;;False;;False;
lemma3_suffer mental ill;False;False;0.17653018473407162;False;;;False;;False;;False;
lemma3_suprem court decis;False;False;0.859646915720889;False;;;False;;False;;False;
lemma3_suprem court rule;False;False;0.6098504540355436;False;;;False;;False;;False;
lemma3_trade center site;False;False;0.26884462416043453;False;;;False;;False;;False;
lemma3_unit nation secur;False;False;0.10381168298850257;False;;;False;;False;;False;
lemma3_unit state court;False;False;0.9780523910337228;False;;;False;;False;;False;
lemma3_unit state militari;False;False;0.8614199434948527;False;;;False;;False;;False;
lemma3_unit state trade;False;False;0.09718822754971262;False;;;False;;False;;False;
lemma3_verifi paper record;False;False;0.276353388456936;False;;;False;;False;;False;
lemma3_vote machin produc;False;False;0.5314829292008137;False;;;False;;False;;False;
lemma3_voter verifi paper;False;False;0.276353388456936;False;;;False;;False;;False;
lemma3_wall street journal;False;False;0.8394310957795257;False;;;False;;False;;False;
lemma3_weapon mass destruct;False;False;0.9709199507248745;False;;;False;;False;;False;
lemma3_world trade center;False;False;0.05936251124731695;False;;;False;;False;;False;
lemma3_world trade organ;False;False;0.5921198778087173;False;;;False;;False;;False;
lemma3_year presid bush;False;False;0.02578087319053686;True;;;True;0.02;False;;False;
lemma3_york public research;False;False;0.11165977697797523;False;;;False;;False;;False;
lemma3_york state budget;False;False;0.5632516203531188;False;;;False;;False;;False;
lemma3_york state capitol;False;False;0.27477943261265475;False;;;False;;False;;False;
lemma3_york state legislatur;False;False;0.2238891929410421;False;;;False;;False;;False;
